GeneID,TaxaID,TissueID,AllSpeciesData
DYM,Labeotropheus,OJ,1.415850773
DYM,Labeotropheus,OJ,0.647055459
DYM,Labeotropheus,OJ,1.363096639
DYM,Labeotropheus,OJ,0.885491359
DYM,Labeotropheus,OJ,0.806874941
DYM,Labeotropheus,OJ,1.266279986
DYM,Labeotropheus,OJ,1.274235474
DYM,Labeotropheus,OJ,1.152944606
DYM,Labeotropheus,PJ,1.520717305
DYM,Labeotropheus,PJ,0.753367086
DYM,Labeotropheus,PJ,1.647000158
DYM,Labeotropheus,PJ,1.380419729
DYM,Labeotropheus,PJ,0.717853897
DYM,Labeotropheus,PJ,0.767102864
DYM,Labeotropheus,PJ,0.807653796
DYM,Labeotropheus,PJ,1.958435227
SMAD7,Labeotropheus,OJ,0.53166852
SMAD7,Labeotropheus,OJ,0.667115334
SMAD7,Labeotropheus,OJ,0.588919455
SMAD7,Labeotropheus,OJ,0.104267277
SMAD7,Labeotropheus,OJ,0.363677586
SMAD7,Labeotropheus,OJ,0.440812808
SMAD7,Labeotropheus,OJ,0.94812443
SMAD7,Labeotropheus,OJ,0.3811335
SMAD7,Labeotropheus,PJ,0.765227592
SMAD7,Labeotropheus,PJ,0.621817193
SMAD7,Labeotropheus,PJ,0.507299413
SMAD7,Labeotropheus,PJ,0.280001421
SMAD7,Labeotropheus,PJ,1.827299649
SMAD7,Labeotropheus,PJ,1.22660481
SMAD7,Labeotropheus,PJ,0.526388071
SMAD7,Labeotropheus,PJ,0.650958938
NOTCH1a,Labeotropheus,OJ,0.882005375
NOTCH1a,Labeotropheus,OJ,0.103297239
NOTCH1a,Labeotropheus,OJ,0.040219538
NOTCH1a,Labeotropheus,OJ,0.711216563
NOTCH1a,Labeotropheus,OJ,0.213515911
NOTCH1a,Labeotropheus,OJ,0.198735028
NOTCH1a,Labeotropheus,PJ,0.497639679
NOTCH1a,Labeotropheus,PJ,0.002888
NOTCH1a,Labeotropheus,PJ,1.169946185
NOTCH1a,Labeotropheus,PJ,0.081831278
NOTCH1a,Labeotropheus,PJ,0.050301707
NOTCH1a,Labeotropheus,PJ,0.069741192
DYM,Maylandia,OJ,1.01111361
DYM,Maylandia,OJ,1.377191008
DYM,Maylandia,OJ,1.537922851
DYM,Maylandia,OJ,1.095994651
DYM,Maylandia,OJ,1.037160751
DYM,Maylandia,OJ,0.969417416
DYM,Maylandia,OJ,1.031965474
DYM,Maylandia,OJ,0.883692813
DYM,Maylandia,PJ,2.171357235
DYM,Maylandia,PJ,2.000353851
DYM,Maylandia,PJ,0.584564332
DYM,Maylandia,PJ,1.409233979
DYM,Maylandia,PJ,1.152463442
DYM,Maylandia,PJ,1.497615353
DYM,Maylandia,PJ,1.106056387
DYM,Maylandia,PJ,1.16014189
SMAD7,Maylandia,OJ,2.197227261
SMAD7,Maylandia,OJ,1.757645993
SMAD7,Maylandia,OJ,1.13343732
SMAD7,Maylandia,OJ,1.051836199
SMAD7,Maylandia,OJ,0.967151408
SMAD7,Maylandia,OJ,1.205165422
SMAD7,Maylandia,OJ,0.529142983
SMAD7,Maylandia,OJ,0.434885521
SMAD7,Maylandia,PJ,1.521095025
SMAD7,Maylandia,PJ,1.825856158
SMAD7,Maylandia,PJ,1.380310788
SMAD7,Maylandia,PJ,1.171449468
SMAD7,Maylandia,PJ,1.470001608
SMAD7,Maylandia,PJ,2.004199139
SMAD7,Maylandia,PJ,0.895822827
SMAD7,Maylandia,PJ,0.87736504
NOTCH1a,Maylandia,OJ,0.396278278
NOTCH1a,Maylandia,OJ,0.106652555
NOTCH1a,Maylandia,OJ,0.197819305
NOTCH1a,Maylandia,OJ,0.48259847
NOTCH1a,Maylandia,OJ,2.518163611
NOTCH1a,Maylandia,PJ,1.518768406
NOTCH1a,Maylandia,PJ,0.141449817
NOTCH1a,Maylandia,PJ,1.757681135
NOTCH1a,Maylandia,PJ,0.641430245
NOTCH1a,Maylandia,PJ,1.84172092
DYM,Tropheops,OJ,0.479562682
DYM,Tropheops,OJ,0.546352239
DYM,Tropheops,OJ,0.651891648
DYM,Tropheops,OJ,0.704996383
DYM,Tropheops,OJ,0.632853549
DYM,Tropheops,OJ,1.139928097
DYM,Tropheops,PJ,1.250129835
DYM,Tropheops,PJ,0.48117816
DYM,Tropheops,PJ,0.501212904
DYM,Tropheops,PJ,1.492721361
DYM,Tropheops,PJ,0.386039204
DYM,Tropheops,PJ,1.150876298
SMAD7,Tropheops,OJ,0.483033328
SMAD7,Tropheops,OJ,0.767408974
SMAD7,Tropheops,OJ,1.302084479
SMAD7,Tropheops,OJ,2.129323929
SMAD7,Tropheops,OJ,0.474515056
SMAD7,Tropheops,OJ,0.637538948
SMAD7,Tropheops,PJ,1.03565775
SMAD7,Tropheops,PJ,0.848908287
SMAD7,Tropheops,PJ,1.093779843
SMAD7,Tropheops,PJ,1.52779096
SMAD7,Tropheops,PJ,0.184473294
SMAD7,Tropheops,PJ,0.66952953
NOTCH1a,Tropheops,OJ,1.097034829
NOTCH1a,Tropheops,OJ,1.640525236
NOTCH1a,Tropheops,OJ,1.251275549
NOTCH1a,Tropheops,OJ,1.583461093
NOTCH1a,Tropheops,OJ,0.085133953
NOTCH1a,Tropheops,OJ,0.16411319
NOTCH1a,Tropheops,PJ,2.007079459
NOTCH1a,Tropheops,PJ,1.493171282
NOTCH1a,Tropheops,PJ,0.909794926
NOTCH1a,Tropheops,PJ,0.286922107
NOTCH1a,Tropheops,PJ,1.784349702
NOTCH1a,Tropheops,PJ,2.29627764
