Species,Individual,Tissue,Gene,Cq,DateRun
Lfuelleborni,1,CF,BACTIN,14.2727999,20201007
Lfuelleborni,1,CF,BACTIN,14.29231287,20201007
Lfuelleborni,1,CF,BACTIN,15.02513644,20201007
Lfuelleborni,1,OJ,BACTIN,14.43117902,20201007
Lfuelleborni,1,OJ,BACTIN,14.52106389,20201007
Lfuelleborni,1,OJ,BACTIN,16.14301395,20201007
Lfuelleborni,1,PJ,BACTIN,16.5193431,20201007
Lfuelleborni,1,PJ,BACTIN,NA,20201007
Lfuelleborni,1,PJ,BACTIN,NA,20201007
Lfuelleborni,1,CF,DYM,32.81641749,20201007
Lfuelleborni,1,CF,DYM,31.61678171,20201007
Lfuelleborni,1,CF,DYM,30.78682821,20201007
Lfuelleborni,1,OJ,DYM,32.81641749,20201007
Lfuelleborni,1,OJ,DYM,31.61678171,20201007
Lfuelleborni,1,OJ,DYM,30.78682821,20201007
Lfuelleborni,1,PJ,DYM,30.58975005,20201019
Lfuelleborni,1,PJ,DYM,33.55097939,20201019
Lfuelleborni,1,PJ,DYM,35.2328221,20201019
Lfuelleborni,1,CF,NOTCH1A,31.14562735,20201007
Lfuelleborni,1,CF,NOTCH1A,34.24158266,20201007
Lfuelleborni,1,CF,NOTCH1A,31.89024453,20201007
Lfuelleborni,1,OJ,NOTCH1A,28.6127743,20201007
Lfuelleborni,1,OJ,NOTCH1A,28.4295154,20201007
Lfuelleborni,1,OJ,NOTCH1A,29.90266457,20201007
Lfuelleborni,1,PJ,NOTCH1A,24.18463292,20201007
Lfuelleborni,1,PJ,NOTCH1A,24.95428742,20201007
Lfuelleborni,1,PJ,NOTCH1A,27.20026765,20201007
Lfuelleborni,1,CF,SMAD7,32.54219483,20201007
Lfuelleborni,1,CF,SMAD7,30.19830522,20201007
Lfuelleborni,1,CF,SMAD7,30.58429201,20201007
Lfuelleborni,1,OJ,SMAD7,30.72515928,20201019
Lfuelleborni,1,OJ,SMAD7,34.31750929,20201019
Lfuelleborni,1,OJ,SMAD7,NA,20201019
Lfuelleborni,1,PJ,SMAD7,NA,20201007
Lfuelleborni,1,PJ,SMAD7,NA,20201007
Lfuelleborni,1,PJ,SMAD7,33.48356325,20201007
Lfuelleborni,2,CF,BACTIN,14.57806951,20201007
Lfuelleborni,2,CF,BACTIN,14.43328745,20201007
Lfuelleborni,2,CF,BACTIN,14.82978763,20201007
Lfuelleborni,2,OJ,BACTIN,14.91470387,20201007
Lfuelleborni,2,OJ,BACTIN,15.0130227,20201007
Lfuelleborni,2,OJ,BACTIN,15.28555061,20201007
Lfuelleborni,2,PJ,BACTIN,14.54526538,20201007
Lfuelleborni,2,PJ,BACTIN,14.42824251,20201007
Lfuelleborni,2,PJ,BACTIN,15.08957005,20201007
Lfuelleborni,2,CF,DYM,30.92868721,20201019
Lfuelleborni,2,CF,DYM,NA,20201019
Lfuelleborni,2,CF,DYM,30.70121057,20201019
Lfuelleborni,2,OJ,DYM,32.27884161,20201007
Lfuelleborni,2,OJ,DYM,31.89126114,20201007
Lfuelleborni,2,OJ,DYM,31.53099268,20201007
Lfuelleborni,2,PJ,DYM,31.43425701,20201007
Lfuelleborni,2,PJ,DYM,31.30046623,20201007
Lfuelleborni,2,PJ,DYM,31.15778205,20201007
Lfuelleborni,2,CF,NOTCH1A,33.79934975,20201007
Lfuelleborni,2,CF,NOTCH1A,37.56215316,20201007
Lfuelleborni,2,CF,NOTCH1A,33.76831823,20201007
Lfuelleborni,2,OJ,NOTCH1A,34.4770076,20201021
Lfuelleborni,2,OJ,NOTCH1A,NA,20201021
Lfuelleborni,2,OJ,NOTCH1A,36.88657618,20201021
Lfuelleborni,2,PJ,NOTCH1A,NA,20201007
Lfuelleborni,2,PJ,NOTCH1A,NA,20201007
Lfuelleborni,2,PJ,NOTCH1A,36.12407807,20201007
Lfuelleborni,2,CF,SMAD7,30.57261909,20201019
Lfuelleborni,2,CF,SMAD7,26.37696178,20201019
Lfuelleborni,2,CF,SMAD7,NA,20201019
Lfuelleborni,2,OJ,SMAD7,29.43990398,20201007
Lfuelleborni,2,OJ,SMAD7,29.07224218,20201007
Lfuelleborni,2,OJ,SMAD7,30.03633341,20201007
Lfuelleborni,2,PJ,SMAD7,29.55849067,20201007
Lfuelleborni,2,PJ,SMAD7,29.12756402,20201007
Lfuelleborni,2,PJ,SMAD7,29.01656273,20201007
Lfuelleborni,3,CF,BACTIN,18.08551281,20201012
Lfuelleborni,3,CF,BACTIN,18.02506839,20201012
Lfuelleborni,3,CF,BACTIN,19.65530324,20201012
Lfuelleborni,3,OJ,BACTIN,22.00657326,20201012
Lfuelleborni,3,OJ,BACTIN,20.55297554,20201012
Lfuelleborni,3,OJ,BACTIN,24.26034483,20201012
Lfuelleborni,3,PJ,BACTIN,20.7589913,20201012
Lfuelleborni,3,PJ,BACTIN,20.00973713,20201012
Lfuelleborni,3,PJ,BACTIN,22.3613016,20201012
Lfuelleborni,3,CF,DYM,34.18256378,20201012
Lfuelleborni,3,CF,DYM,34.13434473,20201012
Lfuelleborni,3,CF,DYM,33.48298307,20201012
Lfuelleborni,3,OJ,DYM,37.9592509,20201019
Lfuelleborni,3,OJ,DYM,36.38290725,20201012
Lfuelleborni,3,OJ,DYM,NA,20201019
Lfuelleborni,3,PJ,DYM,37.02522122,20201012
Lfuelleborni,3,PJ,DYM,35.59119984,20201012
Lfuelleborni,3,PJ,DYM,34.38809403,20201012
