TaxaID,GeneID,Individual,lOJ,lPJ
Labeotropheus,DYM,1,1.4158508,1.5207173
Labeotropheus,DYM,2,0.6470555,0.7533671
Labeotropheus,DYM,3,1.3630966,1.6470002
Labeotropheus,DYM,4,0.8854914,1.3804197
Labeotropheus,DYM,5,0.8068749,0.7178539
Labeotropheus,DYM,6,1.26628,0.7671029
Labeotropheus,DYM,7,1.2742355,0.8076538
Labeotropheus,DYM,8,1.1529446,1.9584352
Labeotropheus,SMAD7,1,0.53166852,0.76522759
Labeotropheus,SMAD7,2,0.66711533,0.62181719
Labeotropheus,SMAD7,3,0.58891946,0.50729941
Labeotropheus,SMAD7,4,0.10426728,0.28000142
Labeotropheus,SMAD7,5,0.36367759,1.82729965
Labeotropheus,SMAD7,6,0.44081281,1.22660481
Labeotropheus,SMAD7,7,0.94812443,0.52638807
Labeotropheus,SMAD7,8,0.3811335,0.65095894
Labeotropheus,NOTCH1a,2,0.88201,0.49764
Labeotropheus,NOTCH1a,3,0.1033,0.00289
Labeotropheus,NOTCH1a,5,0.04022,1.16995
Labeotropheus,NOTCH1a,6,0.71122,0.08183
Labeotropheus,NOTCH1a,7,0.21352,0.0503
Labeotropheus,NOTCH1a,8,0.19874,0.06974
Maylandia,DYM,1,1.0111136,2.1713572
Maylandia,DYM,2,1.377191,2.0003539
Maylandia,DYM,3,1.5379229,0.5845643
Maylandia,DYM,4,1.0959947,1.409234
Maylandia,DYM,5,1.0371608,1.1524634
Maylandia,DYM,6,0.9694174,1.4976154
Maylandia,DYM,7,1.0319655,1.1060564
Maylandia,DYM,8,0.8836928,1.1601419
Maylandia,SMAD7,1,2.19722726,1.52109503
Maylandia,SMAD7,2,1.75764599,1.82585616
Maylandia,SMAD7,3,1.13343732,1.38031079
Maylandia,SMAD7,4,1.0518362,1.17144947
Maylandia,SMAD7,5,0.96715141,1.47000161
Maylandia,SMAD7,6,1.20516542,2.00419914
Maylandia,SMAD7,7,0.52914298,0.89582283
Maylandia,SMAD7,8,0.43488552,0.87736504
Maylandia,NOTCH1a,1,0.39628,1.51877
Maylandia,NOTCH1a,2,0.10665,0.14145
Maylandia,NOTCH1a,4,0.19782,1.75768
Maylandia,NOTCH1a,6,0.4826,0.64143
Maylandia,NOTCH1a,7,2.51816,1.84172
Tropheops,DYM,1,0.4795627,1.2501298
Tropheops,DYM,2,0.5463522,0.4811782
Tropheops,DYM,3,0.6518916,0.5012129
Tropheops,DYM,4,0.7049964,1.4927214
Tropheops,DYM,5,0.6328535,0.3860392
Tropheops,DYM,6,1.1399281,1.1508763
Tropheops,SMAD7,1,0.48303333,1.03565775
Tropheops,SMAD7,2,0.76740897,0.84890829
Tropheops,SMAD7,3,1.30208448,1.09377984
Tropheops,SMAD7,4,2.12932393,1.52779096
Tropheops,SMAD7,5,0.47451506,0.18447329
Tropheops,SMAD7,6,0.63753895,0.66952953
Tropheops,NOTCH1a,1,1.09704,2.00708
Tropheops,NOTCH1a,2,1.64053,1.49317
Tropheops,NOTCH1a,3,1.25128,0.90979
Tropheops,NOTCH1a,4,1.58346,0.28692
Tropheops,NOTCH1a,5,0.08513,1.78435
Tropheops,NOTCH1a,6,0.16411,2.29628
