TaxaID,Clade,Lake,Diet
Abactochromis_labrosus,M,M,Z2
Alticorpus_mentale,U,M,F
Altolamprologus_compressiceps,T,T,Z1
Anomalochromis_thomasi,A,A,O
Aulonocara_koningsi,U,M,Z2
Aulonocara_stuartgranti,U,M,Z2
Aulonocranus_dewindti,T,T,Z2
Bathybates_ferox,T,T,F
Benitochromis_finleyi,A,A,O
Benthochromis_tricoti,T,T,Z
Buccochromis_nototaenia,U,M,F
Chalinochromis_brichardi,T,T,A
Cheilochromis_euchilus,U,M,Z2
Chilochromis_duponti,A,A,A
Chilotilapia_rhoadesii,U,M,Z1
Chindongo_bellicosus,M,M,A
Chromidotilapia_kingsleyae,A,A,O
Copadichromis_borleyi,U,M,Z
Cunningtonia_longiventralis,T,T,A
Cynotilapia_afra,M,M,Z
Cyphotilapia_frontosa,T,T,F
Cyprichromis_leptosoma,T,T,Z
Dimidiochromis_compressiceps,U,M,F
Ectodus_descampsii,T,T,Z2
Eretmodus_cyanostictus,T,T,A
Exochochromis_anagenys,U,M,F
Gephyrochromis_moorii,M,M,O
Grammatotria_lemairii,T,T,Z2
Greenwoodochromis_christyi,T,T,Z1
Haplochromis_squamulatus,V,V,F
Haplochromis_victoriae,V,V,Z2
Haplochromis_welcommei,V,V,S
Haplochromis_wingatii,V,V,O
Hemibates_stenosoma,T,T,F
Hemichromis_fasciatus,A,A,F
Hemitaeniochromis_urotaenia,U,M,F
Interochromis_loocki,T,T,A
Iodotropheus_sprengerae,M,M,O
Konia_eisentrauti,A,A,Z2
Labeotropheus_fuelleborni,M,M,A
Labeotropheus_trewavasae,M,M,A
Labidochromis_caeruleus,M,M,O
Lepidiolamprologus_elongatus,T,T,Z2
Lethrinops_lethrinus,U,M,Z2
Lichnochromis_acuticeps,U,M,Z2
Limnochromis_auritus,T,T,Z1
Limnotilapia_dardennii,T,T,A
Lobochilotes_labiatus,T,T,Z1
Maylandia_aurora,M,M,A
Maylandia_barlowi,M,M,A
Maylandia_benetos,M,M,A
Maylandia_koningsi,M,M,A
Maylandia_mbenjii,M,M,A
Maylandia_zebra,M,M,A
Mbipia_mbipi,V,V,A
Mchenga_cyclicos,U,M,Z
Melanochromis_auratus,M,M,A
Melanochromis_melanopterus,M,M,Z2
Mylochromis_lateristriga,U,M,Z1
Naevochromis_chrysogaster,U,M,Z2
Nanochromis_nudiceps,A,A,O
Nimbochromis_linni,U,M,F
Orthochromis_malagaraziensis,T,T,Z2
Otopharynx_lithobates,U,M,Z1
Parananochromis_longirostris,A,A,O
Pelmatochromis_buettikoferi,A,A,O
Pelvicachromis_pulcher,A,A,O
Perissodus_microlepis,T,T,S
Petrochromis_polyodon,T,T,A
Petrotilapia_nigra,M,M,A
Pseudosimochromis_curvifrons,T,T,A
Pungu_maclareni,A,A,O
Reganochromis_calliurus,T,T,Z2
Sciaenochromis_ahli,U,M,F
Simochromis_diagramma,T,T,A
Stomatepia_mariae,A,A,Z2
Taeniolethrinops_praeorbitalis,U,M,Z2
Tangachromis_dhanisi,T,T,Z
Telmatochromis_temporalis,T,T,A
Thysochromis_ansorgii,A,A,O
Tilapia_sparrmanii,A,A,A
Trematocranus_microstoma,U,M,Z1
Tropheops_gracilior,M,M,A
Tropheops_macrophthalmus,M,M,A
Tropheops_microstoma,M,M,A
Xenochromis_hecqui,T,T,Z
Xenotilapia_leptura,T,T,A
Xenotilapia_ochrogenys,T,T,Z2
