TaxaID,TPSID,Lake,Clade,Csize,PC1,PC2,PC3,PC4,PC5
Abactochromis_labrosus,Abalab_LPJ,M,M,19.077479,-0.077083978,0.040251603,-0.011111723,0.030992967,0.005821479
Haplochromis_welcommei,Allwel_LPJ,V,V,8.995181,-0.004123205,0.030268116,0.050625081,-0.042826562,0.009510778
Altolamprologus_compressiceps,Altcom_LPJ,T,T,8.151042,-0.141202797,0.059113836,0.051141064,0.030719582,-0.021387631
Alticorpus_mentale,Altmen_LPJ,M,U,31.471066,0.041476182,0.038082856,0.022551297,0.007300242,-0.02667498
Anomalochromis_thomasi,Anotho_LPJ,A,A,6.084242,0.152426879,0.049844123,-0.031934635,0.039340476,0.038090777
Xenotilapia_leptura,Astlep_LPJ,T,T,8.729422,0.026176068,0.00051891,0.005781366,0.035171126,-0.026655074
Aulonocranus_dewindti,Auldew_LPJ,T,T,9.630999,-0.076058441,0.026780352,-0.011384952,0.038750259,-0.024133752
Aulonocara_koningsi,Aulkon_LPJ,M,U,6.648609,0.042751307,0.051722238,0.005175548,0.016223356,-0.00737659
Aulonocara_stuartgranti,Aulstu_LPJ,M,U,10.77881,0.05460076,0.010979448,0.022890768,0.027545264,-0.041518593
Bathybates_ferox,Batfer_LPJ,T,T,19.650561,-0.163289482,0.142694324,0.083004804,-0.028366313,0.041364476
Benitochromis_finleyi,Benfin_LPJ,A,A,12.257852,0.073675464,0.051941759,-0.028199904,0.019827848,0.000121126
Benthochromis_tricoti,Bentri_LPJ,T,T,7.64561,-0.17461926,0.027314872,-0.038248612,0.026387687,0.012473541
Buccochromis_nototaenia,Bucnot_LPJ,M,U,6.647323,-0.01726365,0.064455256,-0.024783825,-0.007647236,0.00436577
Chalinochromis_brichardi,Chabri_LPJ,T,T,7.951351,0.193678735,0.032326133,0.007670559,0.008023753,-0.000512044
Cheilochromis_euchilus,Cheeuc_LPJ,M,U,21.85237,0.073248433,0.040426306,0.020823176,-0.026751383,-0.014449133
Chindongo_bellicosus,Chibel_LPJ,M,M,9.905953,0.021302584,-0.051183172,-0.012437818,-0.023402524,-0.031377699
Chilochromis_duponti,Chidup_LPJ,A,A,10.195724,-0.044369157,-0.219887669,0.015911332,0.038895726,0.026206595
Chilotilapia_rhoadesii,Chirho_LPJ,M,U,13.233769,0.025464598,0.005815453,0.035065056,-0.049381921,0.023582658
Chromidotilapia_kingsleyae,Chrkin_LPJ,A,A,13.023862,0.124469188,0.050904391,-0.009722217,0.024808736,-0.025030734
Copadichromis_borleyi,Copbor_LPJ,M,U,9.008403,-0.116381826,0.095008958,-0.052835725,-0.030093734,-0.020006784
Mchenga_cyclicos,Copcyc_LPJ,M,U,14.191524,0.056216877,0.033062932,0.018340995,-0.016730074,-0.00922259
Cunningtonia_longiventralis,Cunlon_LPJ,T,T,5.880751,0.031904723,-0.032184873,-0.043022308,-0.019891839,0.005581086
Cynotilapia_afra,Cynafr_LPJ,M,M,9.844065,-0.025537878,0.022987557,0.002839198,-0.011338504,-0.014789451
Cyphotilapia_frontosa,Cypfro_LPJ,T,T,22.911312,0.061458632,0.03937855,-0.036711574,0.019197529,-0.008551258
Cyprichromis_leptosoma,Cyplep_LPJ,T,T,8.982527,0.051195101,0.033464002,0.021123866,0.003711955,-0.000678599
Dimidiochromis_compressiceps,Dimcom_LPJ,M,U,7.955601,-0.084836526,0.035342153,-0.000881666,-0.012221772,0.034070101
Ectodus_descampsii,Ectdes_LPJ,T,T,12.107121,-0.034101709,-0.205679634,0.068312247,0.066912296,-0.022959516
Eretmodus_cyanostictus,Erecya_LPJ,T,T,6.922888,0.089290458,-0.00265522,0.036207386,0.025490207,-0.01492128
Exochochromis_anagenys,Exoana_LPJ,M,U,9.402673,0.020770488,0.054966426,0.025412928,-0.009201331,0.011369442
Gephyrochromis_moorii,Gepmoo_LPJ,M,M,14.123108,0.026337399,-0.092409825,0.020221642,-0.001611121,-0.026040635
Grammatotria_lemairii,Gralem_LPJ,T,T,17.127796,-0.034692281,-0.064457774,0.050827522,9.92E-05,0.026166009
Greenwoodochromis_christyi,Grechr_LPJ,T,T,24.085778,0.031599732,-0.082709271,0.01293928,0.021391478,0.039428415
Haplochromis_victoriae,Hapvic_LPJ,V,V,10.60217,0.018968104,0.019840205,0.009781509,-0.02237312,0.022984729
Haplochromis_squamulatus,Harpec_LPJ,V,V,16.213602,0.00317138,0.003436276,0.000659116,0.000815325,0.006120239
Hemichromis_fasciatus,Hemfas_LPJ,A,A,24.532423,0.272245857,0.09292036,0.005357503,0.003179882,-0.024588759
Hemibates_stenosoma,Hemste_LPJ,T,T,28.683993,-0.217042787,0.049055839,-0.040534339,0.010491819,-0.004396869
Hemitaeniochromis_urotaenia,Hemuro_LPJ,M,U,33.987489,0.096067026,0.055897471,0.044140942,-0.025469448,-0.020023044
Interochromis_loocki,Intloo_LPJ,T,T,15.161152,0.062737393,-0.013034586,0.013587825,0.0294382,0.002352753
Iodotropheus_sprengerae,Iodspr_LPJ,M,M,10.124164,0.013125564,0.001164374,-0.01915703,0.015201749,-0.003199735
Konia_eisentrauti,Koneis_LPJ,A,A,10.067411,-0.072279851,-0.040895861,-0.032977397,0.027943899,-0.007662395
Labidochromis_caeruleus,Labcae_LPJ,M,M,6.931197,-0.03822118,-0.013944858,0.024187429,0.031187545,0.00311019
Labeotropheus_fuelleborni,Labful-01_LPJ,M,M,14.65610227,-0.036815809,0.001093893,0.014968712,-0.033852545,0.014405361
Labeotropheus_fuelleborni,Labful-14_LPJ,M,M,12.06751061,-0.09191513,-0.01156791,0.048592648,-0.059299011,0.050541911
Labeotropheus_fuelleborni,Labful-N2_LPJ,M,M,14.85407492,-0.097906021,-0.028285008,0.049670915,-0.03019515,-0.016109814
