TaxaID,Clade,Lake,Diet,PC1,PC2,PC3,PC4,PC5
Abactochromis_labrosus,M,M,Zoobenthos2,-0.081267241,0.026257587,-0.010273784,0.023606971,0.005898477
Alticorpus_mentale,U,M,Fish,0.037121504,0.031171516,0.025079599,0.006688983,-0.026455074
Altolamprologus_compressiceps,T,T,Zoobenthos1,-0.143722564,0.042049483,0.054124293,0.025567746,-0.016762248
Anomalochromis_thomasi,A,A,Omnivore,0.144700159,0.043944204,-0.032622387,0.037385538,0.037398476
Aulonocara_koningsi,U,M,Zoobenthos2,0.037903024,0.042842206,0.003049115,0.008800122,-0.009043271
Aulonocara_stuartgranti,U,M,Zoobenthos2,0.051170761,0.003504812,0.022897772,0.024562936,-0.039702252
Aulonocranus_dewindti,T,T,Zoobenthos2,-0.080049147,0.013597964,-0.008089105,0.036688693,-0.023635582
Bathybates_ferox,T,T,Fish,-0.164766597,0.124345165,0.083373516,-0.02913188,0.049258695
Benitochromis_finleyi,A,A,Omnivore,0.067958552,0.044930992,-0.028865914,0.018260192,-0.002329055
Benthochromis_tricoti,T,T,Zooplankton,-0.175774023,0.01069336,-0.036585495,0.017450587,0.013405437
Buccochromis_nototaenia,U,M,Fish,-0.022511547,0.056518831,-0.023912742,-0.007707979,0.005242608
Chalinochromis_brichardi,T,T,Aufwuchs,0.18605773,0.030708348,0.004990665,0.009431836,-0.000369166
Cheilochromis_euchilus,U,M,Zoobenthos2,0.069241284,0.03636806,0.0196599,-0.028285575,-0.016414025
Chilochromis_duponti,A,A,Aufwuchs,-0.037236819,-0.226043225,0.010393677,0.017780852,0.02198905
Chilotilapia_rhoadesii,U,M,Zoobenthos1,0.023985104,0.000597468,0.030820593,-0.057422546,0.020266548
Chindongo_bellicosus,M,M,Aufwuchs,0.020641258,-0.055016106,-0.013080552,-0.026756094,-0.034383054
Chromidotilapia_kingsleyae,A,A,Omnivore,0.117964831,0.046368383,-0.009890278,0.026353421,-0.022047625
Copadichromis_borleyi,U,M,Zooplankton,-0.121190057,0.084544192,-0.050330948,-0.02713037,-0.021137279
Cunningtonia_longiventralis,T,T,Aufwuchs,0.03044136,-0.037134089,-0.04554976,-0.023737461,-0.003530613
Cynotilapia_afra,M,M,Zooplankton,-0.028577869,0.014580624,0.001933035,-0.015357348,-0.016879744
Cyphotilapia_frontosa,T,T,Fish,0.056137006,0.03343357,-0.034653761,0.021263832,-0.008812328
