PhyloID,Species,Depth
Tropheops_black_dorsal-CH,black dorsal,S
Tropheops_black_dorsal-MU,black dorsal,D
Tropheops_broadmouth-OI,broadmouth,D
Tropheops_chinyamwezi-CW,chinyamwezi,S
Tropheops_chinyankwazi-CK,chinyankwazi,S
Tropheops_gold_chest-CH,gold chest,S
Tropheops_gold-ER,gold,S
Tropheops_gracilior-DI,gracilior,D
Tropheops_gracilior-OP,gracilior,D
Tropheops_intermediate-ER,intermediate,S
Tropheops_intermediate-MZ,intermediate,D
Tropheops_intermediate-OI,intermediate,D
Tropheops_intermediate-TW,intermediate,D
Tropheops_lilac-MU,lilac,S
Tropheops_lilac-MZ,lilac,S
Tropheops_lilac-OP,lilac,S
Tropheops_lilac-TW,lilac,S
Tropheops_microstoma-OP,microstoma,D
Tropheops_orange_chest-ER,orange chest,S
Tropheops_orange_chest-TW,orange chest,S
Tropheops_red_cheek-TW,red cheek,S
Tropheops_white_dorsal-NM,white dorsal,S
Tropheops_zimbawe-ZR,zimbawe rock,S
