SpeciesLocID,Genus,Species,Locality,Sex,Depth,TPS_ID,Csize
Tropheops_lilac-TW,Tropheops,lilac,Thumbi West,U,S,159_OJ,15048.71
Tropheops_intermediate-MZ,Tropheops,intermediate,Mazinzi Reef,U,D,1646_OJ,17349.91
Tropheops_intermediate-MZ,Tropheops,intermediate,Mazinzi Reef,U,D,1647_OJ,15240.31
Tropheops_intermediate-OI,Tropheops,intermediate,Otter Island,U,D,301_OJ,15264.95
Tropheops_gold-ER,Tropheops,gold,Eccles Reef,U,S,372_OJ,15769.18
Tropheops_gold_chest-CH,Tropheops,gold chest,Chofu Bay,U,S,373_OJ,15513.39
Tropheops_intermediate-ER,Tropheops,intermediate,Eccles Reef,U,S,375-OJ,22824.4
Labeotropheus_fuelleborni,Labeotropheus,fuelleborni,Chinyankwazi,U,L,LF010504-OJ,22997.95
Labeotropheus_fuelleborni,Labeotropheus,fuelleborni,Makanjila Point,U,L,LF010842-OJ,14399.86
Labeotropheus_fuelleborni,Labeotropheus,fuelleborni,West Reef,U,L,LF010905-OJ,21256.96
Maylandia_aurora,Maylandia,aurora,Otter Point,U,M,Maur010025-OJ,16023.43
Maylandia_aurora,Maylandia,aurora,Otter Point,U,M,Maur010026-OJ,15754.39
Maylandia_aurora,Maylandia,aurora,Otter Point,U,M,Maur010028-OJ,15392.69
Maylandia_benetos,Maylandia,benetos,Mazinzi Reef,U,M,Maylandia_benetos_01-1604-OJ,17641.26
Maylandia_benetos,Maylandia,benetos,Mazinzi Reef,U,M,Maylandia_benetos_01-1605-OJ,16168.76
Maylandia_barlowi,Maylandia,barlowi,Mazinzi Reef,U,M,Mbar011593-OJ,16738.08
Maylandia_barlowi,Maylandia,barlowi,Mazinzi Reef,F,M,Mbar011600-OJ,14648.7
Maylandia_barlowi,Maylandia,barlowi,Mbenji Island,M,M,Mbar1-OJ,14135.34
Maylandia_benetos,Maylandia,benetos,Mazinzi Reef,U,M,Mben011603-OJ,19122.7
Maylandia_benetos,Maylandia,benetos,Mazinzi Reef,U,M,Mben011609-OJ,15232.07
Maylandia_zebra-MU,Maylandia,zebra,Mumbo Island,U,M,MZMu19-OJ,21779.07
Maylandia_zebra-MU,Maylandia,zebra,Mumbo Island,U,M,MZMu3-OJ,19111.66
Maylandia_zebra-MU,Maylandia,zebra,Mumbo Island,U,M,OJ_MZ_MU_7,19533.53
Tropheops_broadmouth-OI,Tropheops,broadmouth,Otter Island,U,D,OJ_TB_OI_01-0106,14977.48
Tropheops_gracilior-DI,Tropheops,gracilior,Domwe Island,U,D,OJ_TG_DI_8,20097.99
Tropheops_gracilior-OP,Tropheops,gracilior,Otter Island,M,D,OJ_TG_OI_01-0109,16647.57
Tropheops_intermediate-TW,Tropheops,intermediate,Thumbi West,U,D,OJ_TI_TW_01-0172,16361.28
Tropheops_lilac-OP,Tropheops,lilac,Otter Point,M,S,OJ_TL_OP_01-0151,13761.58
Tropheops_microstoma-OP,Tropheops,microstoma,Otter Island,F,D,OJ_TM_OI_01-1147,12420.52
Tropheops_gold-ER,Tropheops,gold,Eccles Reef,U,S,Tgold010374-OJ,13645.61
Tropheops_intermediate-OI,Tropheops,intermediate,Otter Island,U,D,Tint010302-OJ,16826.49
Tropheops_chinyamwezi-CW,Tropheops,chinyamwezi,Chinyamwezi,U,S,Tr010335-OJ,16450.63
Tropheops_chinyamwezi-CW,Tropheops,chinyamwezi,Chinyamwezi,U,S,Tr010348-OJ,15377.03
