SpeciesLocID,Species,Locality,Sex,Depth,TPS_ID
Tropheops_lilac-TW,lilac,Thumbi West,U,S,159_OJ
Tropheops_intermediate-MZ,intermediate,Mazinzi Reef,U,D,1646_OJ
Tropheops_intermediate-MZ,intermediate,Mazinzi Reef,U,D,1647_OJ
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,301_OJ
Tropheops_gold-ER,gold,Eccles Reef,U,S,372_OJ
Tropheops_gold_chest-CH,gold chest,Chofu Bay,U,S,373_OJ
Tropheops_intermediate-ER,intermediate,Eccles Reef,U,S,375-OJ
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,OJ_TB_OI_01-0106
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,OJ_TG_DI_8
Tropheops_gracilior-OP,gracilior,Otter Island,M,D,OJ_TG_OI_01-0109
Tropheops_intermediate-TW,intermediate,Thumbi West,U,D,OJ_TI_TW_01-0172
Tropheops_lilac-OP,lilac,Otter Point,M,S,OJ_TL_OP_01-0151
Tropheops_microstoma-OP,microstoma,Otter Island,F,D,OJ_TM_OI_01-1147
Tropheops_gold-ER,gold,Eccles Reef,U,S,Tgold010374-OJ
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,Tint010302-OJ
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,Tr010335-OJ
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,Tr010348-OJ
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,Tr010357-OJ
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,Tr010358-OJ
Tropheops_gold_chest-CH,gold chest,Chofu Bay,U,S,Tr010383-OJ
Tropheops_gold_chest-CH,gold chest,Chofu Bay,U,S,Tr010384-OJ
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010385-OJ
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010386-OJ
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010388-OJ
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,TrBdmth010107-OJ
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,TrBdmth010108-OJ
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu1-OJ
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu2-OJ
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu5-OJ
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,TrCMW010336-OJ
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,TrCWK010362-OJ
Tropheops_gold_chest-CH,gold chest,Chofu Bay,U,S,TrGC010381-OJ
Tropheops_gracilior-OP,gracilior,Otter Island,F,D,TrGr010124-OJ
Tropheops_gracilior-OP,gracilior,Otter Island,M,D,TrGr010131-OJ
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,TrGr10-OJ
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,TrGr27-OJ
Tropheops_intermediate-TW,intermediate,Thumbi West,F,D,Trint010181-OJ
Tropheops_intermediate-TW,intermediate,Thumbi West,F,D,Trint010184-OJ
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,TrInt010197-OJ
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,Trint010198-OJ
Tropheops_intermediate-MZ,intermediate,Mazinzi Reef,M,D,Trint011645-OJ
Tropheops_lilac-OP,lilac,Otter Point,M,S,Trli010153-OJ
Tropheops_lilac-OP,lilac,Otter Point,F,S,Trlil010156-OJ
Tropheops_lilac-TW,lilac,Thumbi West,U,S,Trlilac010196-OJ
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrLiMu01-OJ
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrliMu28-OJ
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrLiMu29-OJ
Tropheops_lilac-MZ,lilac,Mazinzi Reef,M,S,TrliMz011656-OJ
Tropheops_microstoma-OP,microstoma,Otter Island,U,D,TrMi010322-OJ
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010303-OJ
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010304-OJ
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010307-OJ
Tropheops_orange_chest-ER,orange chest,Eccles Reef,U,S,TrOC010376-OJ
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010160-OJ
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010161-OJ
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010163-OJ
Tropheops_white_dorsal-NM,white dorsal,Nanthumbi,U,S,TrWD010398-OJ
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZr011115-OJ
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZR011118-OJ
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZR011121-OJ
