SpeciesLocID,Species,Locality,Sex,Depth,TPS_ID
Tropheops_intermediate-MZ,intermediate,Mazinzi Reef,U,D,1646_PJ
Tropheops_intermediate-ER,intermediate,Eccles Reef,U,S,375-PJ
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,PJ_TB_OI_01-0106
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,PJ_TG_DI_8
Tropheops_gracilior-OP,gracilior,Otter Island,M,D,PJ_TG_OI_01-0109
Tropheops_intermediate-TW,intermediate,Thumbi West,U,D,PJ_TI_TW_01-0172
Tropheops_lilac-OP,lilac,Otter Point,M,S,PJ_TL_OP_01-0151
Tropheops_microstoma-OP,microstoma,Otter Island,F,D,PJ_TM_OI_01-1147
Tropheops_gold-ER,gold,Eccles Reef,U,S,Tgold010374-PJ
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,Tint010302-PJ
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,Tr010335-PJ
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,Tr010348-PJ
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,Tr010357-PJ
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,Tr010358-PJ
Tropheops_gold_chest-CH,gold chest,Chofu Bay,U,S,Tr010383-PJ
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010385-PJ
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010386-PJ
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010388-PJ
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,TrBdmth010107-PJ
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,TrBdmth010108-PJ
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu1-PJ
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu2-PJ
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu5-PJ
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,TrCMW010336-PJ
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,TrCWK010362-PJ
Tropheops_gold_chest-CH,gold chest,Chofu Bay,U,S,TrGC010381-PJ
Tropheops_gracilior-OP,gracilior,Otter Island,F,D,TrGr010124-PJ
Tropheops_gracilior-OP,gracilior,Otter Island,M,D,TrGr010131-PJ
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,TrGr10-PJ
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,TrGr27-PJ
Tropheops_intermediate-TW,intermediate,Thumbi West,F,D,Trint010181-PJ
Tropheops_intermediate-TW,intermediate,Thumbi West,F,D,Trint010184-PJ
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,TrInt010197-PJ
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,Trint010198-PJ
Tropheops_intermediate-MZ,intermediate,Mazinzi Reef,M,D,Trint011645-PJ
Tropheops_lilac-OP,lilac,Otter Point,M,S,Trli010153-PJ
Tropheops_lilac-OP,lilac,Otter Point,F,S,Trlil010156-PJ
Tropheops_lilac-TW,lilac,Thumbi West,U,S,Trlilac010196-PJ
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrLiMu01-PJ
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrliMu28-PJ
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrLiMu29-PJ
Tropheops_lilac-MZ,lilac,Mazinzi Reef,M,S,TrliMz011656-PJ
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010303-PJ
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010304-PJ
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010307-PJ
Tropheops_orange_chest-ER,orange chest,Eccles Reef,U,S,TrOC010376-PJ
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010160-PJ
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010161-PJ_BottomBlackLine
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010163-PJ
Tropheops_white_dorsal-NM,white dorsal,Nanthumbi,U,S,TrWD010398-PJ
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZr011115-PJ
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZR011118-PJ
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZR011121-PJ
