HybridID,PC1,scaffold_21_284354,scaffold_21_603637,scaffold_21_954362,scaffold_21_1081954,scaffold_21_1168407,scaffold_21_1556666,scaffold_21_2181463,scaffold_21_2181470,scaffold_21_2190915,scaffold_21_2195347,scaffold_21_2485562,scaffold_21_2485563,scaffold_21_2514945,scaffold_21_2552192,scaffold_21_2717202,scaffold_21_2765502,scaffold_21_2910766,scaffold_21_3094096,scaffold_21_3109889,scaffold_21_3109907,scaffold_21_3203459,scaffold_21_3453237,scaffold_21_3699926,scaffold_21_4037299,scaffold_21_4044334,scaffold_21_4058266,scaffold_21_4568542,scaffold_21_4823705,scaffold_21_4930076,scaffold_21_4972994,scaffold_21_5147006,scaffold_21_5242487,scaffold_21_5349915,scaffold_21_5517604,scaffold_21_6232964,scaffold_21_6359869,scaffold_21_6549222,scaffold_21_6549302,scaffold_21_6551024,scaffold_21_6570168,scaffold_21_6570180,scaffold_21_6645830,scaffold_21_6663265
,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,,0.0284354,0.0603637,0.0954362,0.1081954,0.1168407,0.1556666,0.2181463,0.218147,0.2190915,0.2195347,0.2485562,0.2485563,0.2514945,0.2552192,0.2717202,0.2765502,0.2910766,0.3094096,0.3109889,0.3109907,0.3203459,0.3453237,0.3699926,0.4037299,0.4044334,0.4058266,0.4568542,0.4823705,0.4930076,0.4972994,0.5147006,0.5242487,0.5349915,0.5517604,0.6232964,0.6359869,0.6549222,0.6549302,0.6551024,0.6570168,0.657018,0.664583,0.6663265
5006,-0.076430058,NA,BB,BB,BB,AB,AB,NA,NA,NA,AA,BB,AB,AA,BB,AB,AB,BB,BB,NA,NA,AA,NA,BB,BB,BB,AB,BB,BB,BB,BB,BB,BB,AA,NA,AA,BB,AA,AA,AA,BB,AA,BB,NA
5075,-0.070829959,AA,BB,AB,AA,AA,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AA,BB,AB,BB,BB,BB,BB,BB,NA,AB,AA,AB,BB,AA,AA,AA,AB,AA,BB,AA
5592,-0.070680294,AB,NA,BB,AA,AA,AB,AB,AB,AB,AA,AB,AB,BB,AA,AB,BB,AA,AA,NA,NA,AB,BB,BB,BB,BB,AB,AB,AB,AB,AA,BB,AB,AA,BB,BB,BB,BB,AB,BB,AB,AB,AB,NA
5591,-0.067976259,AB,AB,AB,AA,AA,BB,AA,AA,AB,BB,BB,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB
5530,-0.067232465,AA,BB,BB,BB,AB,AB,AA,AA,AB,BB,AB,AB,AB,AB,BB,AB,AB,AA,NA,NA,AB,NA,AA,BB,BB,AA,AB,AA,AB,NA,AB,BB,AB,AB,AB,AB,AB,AA,BB,AB,AB,NA,AA
5019,-0.06628947,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5084,-0.062588225,AB,AA,AA,AA,AA,BB,BB,BB,AB,AB,AB,AB,AB,AB,NA,AA,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,NA,BB,AA,AA,AA,BB,AA,BB,AA
5030,-0.062462875,BB,AB,BB,AA,AB,NA,BB,BB,AA,NA,AB,AB,AA,AB,BB,AA,AB,AB,NA,NA,AB,AB,BB,AB,AA,AB,BB,AB,NA,BB,AB,NA,AB,AB,BB,AB,AA,AB,BB,AB,AB,AB,BB
5018,-0.062462196,AA,BB,BB,AA,AB,BB,NA,NA,AA,BB,AB,AB,AB,AB,NA,NA,AB,NA,AB,AB,BB,BB,AB,AB,AB,BB,BB,NA,BB,BB,BB,BB,AA,AB,AA,BB,AA,AA,AA,BB,AA,BB,AA
5065,-0.062317919,AA,BB,BB,NA,BB,BB,AB,AB,AA,AB,AB,AB,AA,AB,AA,NA,AB,AA,AB,AB,AB,AA,AB,BB,AA,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AB,AA,BB,AA
5553,-0.061247809,AB,BB,AB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AA,AB,BB,BB,AB,AA,AB,AB,AB,AB,AA,AA,AB,AB,AA,AB,NA,AA,AB,AB,AB,BB,AB,BB,AB,AA,AB,AB,AB,BB,AB
5069,-0.059253773,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,BB,AB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5550,-0.058240296,AA,BB,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5306,-0.05753092,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
5001,-0.057182261,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB
5050,-0.057076928,AA,BB,BB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AB,AA,BB,AA
5595,-0.054371668,AB,AB,AB,AA,AB,BB,AA,AA,BB,BB,BB,BB,AA,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB
5061,-0.05423096,AA,BB,BB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AB,AA,BB,AA
5590,-0.05405426,AA,BB,BB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,AB,AA,BB,AA
5080,-0.053567793,AA,BB,AB,AA,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AB,BB,AA,BB,AA
5447,-0.052647395,AB,AA,AB,AA,AB,BB,NA,NA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AA,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB
5041,-0.051305129,AA,BB,BB,AA,AB,BB,BB,BB,AA,AA,AA,AA,BB,AA,NA,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,NA,BB,BB,BB,BB,NA,BB,AA,AA,AA,BB,AA,NA,AA,BB,AA,BB,NA
5173,-0.051174491,AA,BB,BB,AA,BB,BB,AB,AB,AB,BB,AB,AB,AB,AB,BB,AB,AA,NA,AB,AB,AB,BB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,BB,AB,AB,AB,AA,AB
5110,-0.050619534,AA,BB,BB,NA,AB,BB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
5053,-0.049212523,AB,AB,AB,AA,AA,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AA,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AA,BB,BB,BB,AA,BB,BB,BB,AA,BB,AA,BB
5593,-0.047354218,AA,BB,BB,AA,BB,BB,BB,BB,AA,AA,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,BB,BB,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,AA,BB,AA
