Scaff,Pos,RelativePOS,Fst,zFst
scaffold_0_7061265,7061265,-3276149,1,2.299298074
scaffold_0_6977148,6977148,-3192032,0.0944,-0.600098994
scaffold_0_6951200,6951200,-3166084,7.00E-04,-0.900091823
scaffold_0_6926455,6926455,-3141339,0.2154,-0.212701639
scaffold_0_6926288,6926288,-3141172,0.3917,0.351745913
scaffold_0_6878035,6878035,-3092919,0.2206,-0.196053157
scaffold_0_6854782,6854782,-3069666,1,2.299298074
scaffold_0_6854671,6854671,-3069555,0.8549,1.834741411
scaffold_0_6844226,6844226,-3059110,0.2333,-0.155392443
scaffold_0_6817061,6817061,-3031945,0.0133,-0.859751272
scaffold_0_6817045,6817045,-3031929,NA,NA
scaffold_0_6757356,6757356,-2972240,0.0545,-0.727844073
scaffold_0_6748125,6748125,-2963009,0,-0.902332965
scaffold_0_6748109,6748109,-2962993,0.0411,-0.770745929
scaffold_0_6590710,6590710,-2805594,0.1014,-0.577687577
scaffold_0_6572708,6572708,-2787592,0.0556,-0.724322279
scaffold_0_6532107,6532107,-2746991,0.2568,-0.080154114
scaffold_0_6399461,6399461,-2614345,0.0122,-0.863273066
scaffold_0_6387589,6387589,-2602473,0.7244,1.41692856
scaffold_0_6348434,6348434,-2563318,0.0133,-0.859751272
scaffold_0_6283701,6283701,-2498585,0.0133,-0.859751272
scaffold_0_6251368,6251368,-2466252,0.2569,-0.079833951
scaffold_0_6238806,6238806,-2453690,0.9236,2.054693463
scaffold_0_6172063,6172063,-2386947,0.2154,-0.212701639
scaffold_0_6157670,6157670,-2372554,0.9025,1.987139048
scaffold_0_6050202,6050202,-2265086,0.2009,-0.259125289
scaffold_0_6050103,6050103,-2264987,0.1982,-0.267769693
scaffold_0_6050047,6050047,-2264931,0.0133,-0.859751272
scaffold_0_6050038,6050038,-2264922,0,-0.902332965
scaffold_0_5788928,5788928,-2003812,0.0975,-0.590173938
scaffold_0_5652794,5652794,-1867678,NA,NA
scaffold_0_5585671,5585671,-1800555,0.2009,-0.259125289
scaffold_0_5585553,5585553,-1800437,0,-0.902332965
scaffold_0_5570099,5570099,-1784983,0.8143,1.70475519
scaffold_0_5570040,5570040,-1784924,0.0133,-0.859751272
scaffold_0_5472362,5472362,-1687246,NA,NA
scaffold_0_5472346,5472346,-1687230,0.0556,-0.724322279
scaffold_0_5419420,5419420,-1634304,-0.0127,-0.942993679
scaffold_0_5419399,5419399,-1634283,NA,NA
scaffold_0_5071706,5071706,-1286590,0.95,2.139216522
scaffold_0_4883368,4883368,-1098252,-3.00E-04,-0.903293454
scaffold_0_4850749,4850749,-1065633,0.6271,1.10540986
scaffold_0_4757611,4757611,-972495,0.2544,-0.087838028
scaffold_0_4757583,4757583,-972467,0.2684,-0.043015194
scaffold_0_4730983,4730983,-945867,0.2569,-0.079833951
scaffold_0_4645015,4645015,-859899,0.4032,0.38856467
scaffold_0_4616393,4616393,-831277,0.2358,-0.147388366
scaffold_0_4616382,4616382,-831266,0.139,-0.45730625
scaffold_0_4612706,4612706,-827590,0.108,-0.556556812
scaffold_0_4548444,4548444,-763328,0.3434,0.197107134
scaffold_0_4548313,4548313,-763197,0.2383,-0.139384288
scaffold_0_4486020,4486020,-700904,0.7062,1.358658875
scaffold_0_4389029,4389029,-603913,0.4438,0.518550891
scaffold_0_4363923,4363923,-578807,0.2761,-0.018362635
scaffold_0_4363789,4363789,-578673,0.2809,-0.002994806
scaffold_0_4218403,4218403,-433287,0.1343,-0.472353916
scaffold_0_4096946,4096946,-311830,0.1343,-0.472353916
scaffold_0_3785116,3785116,0,1,2.299298074
scaffold_21_110353,110353,110353,0.1955,-0.276414096
scaffold_21_284354,284354,284354,0.0556,-0.724322279
scaffold_21_424744,424744,424744,0.3149,0.10586065
scaffold_21_603637,603637,603637,-0.0104,-0.935629927
scaffold_21_603701,603701,603701,0.1176,-0.525821154
scaffold_21_774654,774654,774654,0,-0.902332965
scaffold_21_780332,780332,780332,-0.0226,-0.974689826
scaffold_21_780347,780347,780347,0.1621,-0.383348573
scaffold_21_911358,911358,911358,0.3389,0.182699795
scaffold_21_954362,954362,954362,0.2635,-0.058703186
scaffold_21_1081954,1081954,1081954,0.1343,-0.472353916
scaffold_21_1084724,1084724,1084724,3.00E-04,-0.901372475
scaffold_21_1168407,1168407,1168407,1,2.299298074
scaffold_21_1361004,1361004,1361004,0.0704,-0.676938139
scaffold_21_1556666,1556666,1556666,0.6612,1.214585478
scaffold_21_1579518,1579518,1579518,0.3389,0.182699795
scaffold_21_1594058,1594058,1594058,0,-0.902332965
scaffold_21_1658078,1658078,1658078,0.2568,-0.080154114
scaffold_21_1916683,1916683,1916683,0,-0.902332965
scaffold_21_1923734,1923734,1923734,0.1662,-0.370221886
scaffold_21_1973122,1973122,1973122,0.1603,-0.389111509
scaffold_21_2024459,2024459,2024459,0.1955,-0.276414096
scaffold_21_2181463,2181463,2181463,0.1014,-0.577687577
scaffold_21_2181470,2181470,2181470,NA,NA
scaffold_21_2190915,2190915,2190915,NA,NA
scaffold_21_2191022,2191022,2191022,0,-0.902332965
scaffold_21_2191023,2191023,2191023,0.3172,0.113224401
scaffold_21_2195347,2195347,2195347,0.9001,1.979455134
