HybridID,PC2,lg7_388330,lg7_463563,lg7_921035,lg7_921039,lg7_2248056,lg7_2591891,lg7_2658870,lg7_3335466,lg7_4308965,lg7_4334794,lg7_7731863,lg7_8212508,lg7_8313543,lg7_8428241,lg7_8436362,lg7_8514339,lg7_10355684,lg7_12197613,lg7_13126484,lg7_13905567,lg7_14661721,lg7_14726195,lg7_14726232,lg7_14726262,lg7_16150486,lg7_16720428,lg7_17409132,lg7_17483503,lg7_18587201,lg7_18914605,lg7_18940380,lg7_18954797,lg7_19182946,lg7_20141945,lg7_20142000,lg7_20210562,lg7_20561788,lg7_22002946,lg7_22187181,lg7_22203786,lg7_22261565,lg7_23713470,lg7_25814791,lg7_26624724,lg7_26686703,lg7_27127326,lg7_28510924,lg7_28511085,lg7_28695280,lg7_28779236,lg7_28807341,lg7_28909421,lg7_29167488,lg7_31586414,lg7_32519426,lg7_32852132,lg7_33964414,lg7_34029058,lg7_34810372,lg7_34810419,lg7_37904992,lg7_38306599,lg7_40599716,lg7_41179274,lg7_41777750,lg7_43320450,lg7_43819923,lg7_46720764,lg7_47752984,lg7_48150347,lg7_48362698,lg7_48709738,lg7_50176445,lg7_50540351,lg7_50949910,lg7_51896028,lg7_52021905,lg7_52211318,lg7_52315498,lg7_53649964,lg7_53862409,lg7_54351014,lg7_55889380,lg7_55972251,lg7_56864687,lg7_57361430,lg7_57486526,lg7_58217296,lg7_58360587,lg7_58792019,lg7_58834967,lg7_58940402,lg7_59122107,lg7_59330989,lg7_59379462,lg7_59401513,lg7_59468964,lg7_59983148,lg7_60241895,lg7_60603882,lg7_60859994,lg7_60969450,lg7_60969452,lg7_61050269,lg7_61107318,lg7_61110684,lg7_61563963,lg7_61563990,lg7_61961400,lg7_61961687,lg7_62012963,lg7_62098346,lg7_62102010,lg7_62172606,lg7_62586633,lg7_62586853,lg7_63120050,lg7_63137687,lg7_63141769,lg7_63160207,lg7_63298324,lg7_63298354,lg7_63810976,lg7_63946212,lg7_64416810,lg7_64488837,lg7_64517892,lg7_64535683,lg7_64603879,lg7_64809889,lg7_64857267,lg7_64857309
,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,,0.0038833,0.00463563,0.00921035,0.00921039,0.02248056,0.02591891,0.0265887,0.03335466,0.04308965,0.04334794,0.07731863,0.08212508,0.08313543,0.08428241,0.08436362,0.08514339,0.10355684,0.12197613,0.13126484,0.13905567,0.14661721,0.14726195,0.14726232,0.14726262,0.16150486,0.16720428,0.17409132,0.17483503,0.18587201,0.18914605,0.1894038,0.18954797,0.19182946,0.20141945,0.20142,0.20210562,0.20561788,0.22002946,0.22187181,0.22203786,0.22261565,0.2371347,0.25814791,0.26624724,0.26686703,0.27127326,0.28510924,0.28511085,0.2869528,0.28779236,0.28807341,0.28909421,0.29167488,0.31586414,0.32519426,0.32852132,0.33964414,0.34029058,0.34810372,0.34810419,0.37904992,0.38306599,0.40599716,0.41179274,0.4177775,0.4332045,0.43819923,0.46720764,0.47752984,0.48150347,0.48362698,0.48709738,0.50176445,0.50540351,0.5094991,0.51896028,0.52021905,0.52211318,0.52315498,0.53649964,0.53862409,0.54351014,0.5588938,0.55972251,0.56864687,0.5736143,0.57486526,0.58217296,0.58360587,0.58792019,0.58834967,0.58940402,0.59122107,0.59330989,0.59379462,0.59401513,0.59468964,0.59983148,0.60241895,0.60603882,0.60859994,0.6096945,0.60969452,0.61050269,0.61107318,0.61110684,0.61563963,0.6156399,0.619614,0.61961687,0.62012963,0.62098346,0.6210201,0.62172606,0.62586633,0.62586853,0.6312005,0.63137687,0.63141769,0.63160207,0.63298324,0.63298354,0.63810976,0.63946212,0.6441681,0.64488837,0.64517892,0.64535683,0.64603879,0.64809889,0.64857267,0.64857309
5021,-0.055584994,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,AA,AA,BB,BB,AA,BB,BB,BB,AA,AB,AB,BB,BB,BB,AA,BB,BB,AA,AA,AA,BB,AA,AA,AA,BB,BB,BB,BB,AA,AA,AA,BB,BB,AA,BB,BB,AA,AA,AA,BB,BB,BB,BB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB
5058,-0.052957624,BB,AA,AA,AA,AA,AA,AA,BB,AA,AA,BB,AA,BB,BB,AA,AA,BB,AA,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AA,AA,AB,AB,AB,AB,AB,AA,BB,AA,AA,AA,AA,AA,AA,AB,AB,AA,BB,AB,AB,BB,AA,AB,AB,AB,AA,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
5018,-0.048896814,AA,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,BB,AB,AB,AA,NA,BB,BB,AB,AB,AB,AB,AB,AB,AB,AB,NA,AB,AA,BB,AB,AA,AB,AB,AB,AA,AA,AB,AA,AB,AA,BB,BB,AB,BB,AB,BB,BB,BB,BB,BB,AB,AB,AB,AB,BB,BB,AB,AB,AB,AA,AB,AA,BB,BB,BB,BB,AB,AA,AB,NA,AB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,AB,BB,NA,AB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,AB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,NA,BB,BB,BB,BB,BB
5075,-0.048525484,AA,BB,BB,BB,BB,NA,BB,AA,BB,BB,AA,NA,AA,AA,BB,BB,AA,BB,BB,BB,BB,BB,BB,BB,AB,AB,BB,BB,AB,BB,AB,BB,BB,AB,BB,BB,BB,AB,BB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AB,AA,AB,AB,AA,AB,AA,AB,AB,AA,NA,NA,AA,AA,AA,AA,AB,AB,AB,AA,AB,AB,AB,AB,BB,BB,AB,AB,BB,BB,BB,BB,BB,BB,BB,NA,BB,BB,BB,BB,BB,BB,AB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,NA,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB
5434,-0.047411304,AA,NA,BB,BB,BB,BB,NA,AA,NA,BB,NA,NA,AA,AA,BB,BB,AA,BB,BB,NA,BB,NA,NA,NA,NA,AA,NA,BB,AA,AA,NA,AB,NA,AB,AB,BB,BB,AA,NA,AB,NA,NA,AB,AB,BB,NA,AA,AA,AB,NA,NA,BB,AA,AA,AA,NA,BB,AB,AA,AA,NA,BB,AA,NA,BB,AB,BB,BB,NA,AB,BB,AB,NA,NA,BB,AA,AA,NA,AA,AA,AB,AB,AA,AA,BB,AA,AA,BB,AA,BB,BB,BB,AB,AB,AB,BB,BB,AA,AA,AB,AB,AB,AB,NA,AB,BB,AA,AA,AB,BB,BB,BB,AB,NA,NA,AA,AA,NA,AB,AA,AB,AB,NA,BB,BB,AA,NA,AB,NA,AB,NA,NA
5176,-0.044275275,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,AA,AB,AA,AA,BB,BB,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB,BB,BB,AA,BB,BB,AA,AA,BB,BB,BB,AA,AA,AB,AB,AB,AA,AA,AA,BB,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AA,AA,AA,AA
5405,-0.042799946,AB,BB,BB,BB,BB,BB,BB,AB,BB,BB,AB,BB,AB,AB,BB,BB,AB,AA,BB,BB,BB,BB,BB,BB,AB,AB,BB,BB,AB,BB,AB,BB,AB,AB,BB,BB,AB,AB,AA,AB,AB,AB,AB,AB,BB,AB,AB,AA,AB,BB,BB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB
5175,-0.04219586,AA,BB,BB,BB,BB,BB,BB,AA,BB,BB,AA,BB,AA,AA,BB,BB,AA,AB,AB,AB,AB,AB,AB,AB,AA,AA,BB,BB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AA,AB,AA,AA,AA,AA,AA,AB,AB,AB,AB,AA,AB,AA,AB,AB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AB,AB,AB
