HybridID,PC1,scaffold_0_169794,scaffold_0_212795,scaffold_0_217123,scaffold_0_337936,scaffold_0_341017,scaffold_0_358525,scaffold_0_358535,scaffold_0_502805,scaffold_0_502807,scaffold_0_502808,scaffold_0_633570,scaffold_0_633597,scaffold_0_697387,scaffold_0_827857,scaffold_0_837632,scaffold_0_937789,scaffold_0_937810,scaffold_0_946633,scaffold_0_959733,scaffold_0_973190,scaffold_0_1325166,scaffold_0_1325183,scaffold_0_1839752,scaffold_0_1985486,scaffold_0_1988457,scaffold_0_2033916,scaffold_0_2033979,scaffold_0_2087595,scaffold_0_2087604,scaffold_0_2087605,scaffold_0_2087671,scaffold_0_2278492,scaffold_0_2325356,scaffold_0_2359661,scaffold_0_2364990,scaffold_0_2364993,scaffold_0_2582499,scaffold_0_2582514,scaffold_0_2782786,scaffold_0_2782860,scaffold_0_3261833,scaffold_0_3426417,scaffold_0_3426419,scaffold_0_3785116,scaffold_0_4096946,scaffold_0_4363923,scaffold_0_4389029,scaffold_0_4548444,scaffold_0_4850749,scaffold_0_5071706,scaffold_0_5419399,scaffold_0_5419420,scaffold_0_5472346,scaffold_0_5472362,scaffold_0_5652794,scaffold_0_6000501,scaffold_0_6157670,scaffold_0_6251368,scaffold_0_6374044,scaffold_0_6387589,scaffold_0_6399461,scaffold_0_6532107,scaffold_0_6817045,scaffold_0_6817061,scaffold_0_6844226,scaffold_0_6854671,scaffold_0_7061265,scaffold_0_7090622,scaffold_0_7146161,scaffold_0_7270121,scaffold_0_7360414,scaffold_0_7560767,scaffold_0_7560774,scaffold_0_7591317,scaffold_0_7893575,scaffold_0_7926484,scaffold_0_8044200,scaffold_0_8123054,scaffold_0_8123115,scaffold_0_8310002,scaffold_0_8345400,scaffold_0_8411263,scaffold_0_8482348,scaffold_0_8578619,scaffold_0_8829227,scaffold_0_8989166,scaffold_0_8989175,scaffold_0_9136991,scaffold_0_9136995,scaffold_0_9159519,scaffold_0_9486992,scaffold_0_10051559,scaffold_0_10071521,scaffold_0_10075237,scaffold_0_10075312,scaffold_0_10759234,scaffold_0_10759299,scaffold_0_10793672,scaffold_0_10793764,scaffold_0_11161191,scaffold_0_11161192,scaffold_0_11161220,scaffold_0_11161266,scaffold_0_11161297,scaffold_0_11268452,scaffold_0_11488535,scaffold_0_11488624,scaffold_0_12199756,scaffold_0_12538580,scaffold_0_12843237,scaffold_0_12844052,scaffold_0_12921128,scaffold_0_12921135,scaffold_0_12921138,scaffold_0_13419971,scaffold_0_14039398,scaffold_0_14258847,scaffold_0_14258868,scaffold_0_14258894,scaffold_0_14258907,scaffold_0_14345619,scaffold_0_14886529,scaffold_0_14967006,scaffold_0_14971946,scaffold_0_14971981,scaffold_0_15053418,scaffold_0_15118060,scaffold_0_15218636,scaffold_0_15370056,scaffold_0_15728889,scaffold_0_16103060,scaffold_0_16149180,scaffold_0_16222976,scaffold_0_16223129,scaffold_0_16382662,scaffold_0_16382740,scaffold_0_16438537,scaffold_0_16489752,scaffold_0_16491630,scaffold_0_16567454,scaffold_0_16578666,scaffold_0_17182901,scaffold_0_17241716,scaffold_0_17241786,scaffold_0_17457773,scaffold_0_18374841,scaffold_0_18441968,scaffold_0_18445863,scaffold_0_18664702,scaffold_0_18725296
,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,,0.00169794,0.00212795,0.00217123,0.00337936,0.00341017,0.00358525,0.00358535,0.00502805,0.00502807,0.00502808,0.0063357,0.00633597,0.00697387,0.00827857,0.00837632,0.00937789,0.0093781,0.00946633,0.00959733,0.0097319,0.01325166,0.01325183,0.01839752,0.01985486,0.01988457,0.02033916,0.02033979,0.02087595,0.02087604,0.02087605,0.02087671,0.02278492,0.02325356,0.02359661,0.0236499,0.02364993,0.02582499,0.02582514,0.02782786,0.0278286,0.03261833,0.03426417,0.03426419,0.03785116,0.04096946,0.04363923,0.04389029,0.04548444,0.04850749,0.05071706,0.05419399,0.0541942,0.05472346,0.05472362,0.05652794,0.06000501,0.0615767,0.06251368,0.06374044,0.06387589,0.06399461,0.06532107,0.06817045,0.06817061,0.06844226,0.06854671,0.07061265,0.07090622,0.07146161,0.07270121,0.07360414,0.07560767,0.07560774,0.07591317,0.07893575,0.07926484,0.080442,0.08123054,0.08123115,0.08310002,0.083454,0.08411263,0.08482348,0.08578619,0.08829227,0.08989166,0.08989175,0.09136991,0.09136995,0.09159519,0.09486992,0.10051559,0.10071521,0.10075237,0.10075312,0.10759234,0.10759299,0.10793672,0.10793764,0.11161191,0.11161192,0.1116122,0.11161266,0.11161297,0.11268452,0.11488535,0.11488624,0.12199756,0.1253858,0.12843237,0.12844052,0.12921128,0.12921135,0.12921138,0.13419971,0.14039398,0.14258847,0.14258868,0.14258894,0.14258907,0.14345619,0.14886529,0.14967006,0.14971946,0.14971981,0.15053418,0.1511806,0.15218636,0.15370056,0.15728889,0.1610306,0.1614918,0.16222976,0.16223129,0.16382662,0.1638274,0.16438537,0.16489752,0.1649163,0.16567454,0.16578666,0.17182901,0.17241716,0.17241786,0.17457773,0.18374841,0.18441968,0.18445863,0.18664702,0.18725296
5006,-0.076430058,NA,NA,AB,AA,NA,AA,AA,AA,AA,AA,BB,BB,BB,BB,AB,AA,AA,BB,AB,AA,AA,AA,BB,AA,AA,BB,AA,AB,AB,BB,AB,AA,AA,AA,AA,AA,BB,AA,BB,AA,BB,BB,AB,NA,AB,BB,AA,BB,AB,AB,AA,BB,NA,NA,NA,AB,BB,BB,BB,AA,AA,AB,BB,BB,AA,NA,AA,AA,AB,AA,BB,NA,NA,AA,AA,BB,AA,AA,BB,AA,BB,AA,AA,BB,AA,AA,AA,BB,AA,NA,BB,BB,AA,NA,BB,AA,BB,NA,AA,NA,NA,NA,AB,AB,AA,NA,AA,AA,AA,AB,AA,NA,NA,NA,AB,AA,NA,NA,NA,NA,NA,AA,AB,BB,AA,AB,AA,BB,AA,AB,AB,AA,BB,NA,BB,BB,BB,AA,BB,AB,NA,AA,BB,BB,AA,AA,AB,NA,NA,BB
5075,-0.070829959,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AB,AA,AA,AB,AB,AB,AB,AA,AA,AA,AA,AB,AB,AB,AB,AB,AA,AB,AB,AB,BB,AA,AB,BB,AB,AA,AA,AB,AA,AA,AB,AA,BB,AB,NA,NA,BB,AA,AB,AA,AB,BB,AA,AA,AB,AA,AB,AB,AB,AB,AB,BB,AB,AB,AB,AA,BB,AA,AB,AA,AA,AB,AB,NA,AB,AB,AA,AB,AB,AB,AB,NA,NA,AB,AB,AA,AB,AB,AB,AB,AA,AA,BB,AB,AB,AA,AA,AA,NA,BB,AA,AB,AB,AA,AB,AB,AB,AB,AB,BB,NA,NA,NA,NA,AB,AB,AA,AB,AB,AA,AB,BB,AB,AA,AB,BB,AB,AB,AB,AB,NA,AA,AA,AA,AA,AB,AA,AA,AB,AB,AA,AB,AA,AA
5592,-0.070680294,BB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,BB,AA,AA,BB,BB,AA,AA,NA,NA,NA,AB,AA,AB,AA,BB,AB,AB,AB,AB,AA,AA,NA,BB,BB,NA,NA,AA,AB,AA,NA,AA,AA,AA,NA,NA,AB,NA,AA,AA,AA,BB,AA,AB,AA,AB,BB,AA,AB,BB,AA,AB,AB,AB,BB,AB,AB,BB,NA,AA,BB,AA,NA,AA,AA,AA,AA,BB,NA,BB,AA,AB,BB,AA,AA,AA,AB,AA,AA,BB,AA,AA,AA,BB,NA,NA,BB,NA,AA,AA,AA,BB,BB,AA,AA,NA,AA,AA,NA,AA,AA,AA,AA,AB,AA,AB,AA,AB,AA,NA,AA,AB,BB,AA,AB,AA,BB,AA,BB,AB,AA,BB,BB,BB,BB,NA,AA,AB,BB,AA,AA,BB,BB,AB,AA,BB,NA,AA,BB
5591,-0.067976259,AB,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,AB,AB,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AA,AA,AB,AB,BB,AB,AB,AB,BB,AA,AB,AA,AB,BB,AA,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,BB,AA,AB,BB,AA,AA,AA,AB,AA,AA,BB,AB,AA,AA,BB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AA,AA,AA,AB,AA,AB,AB,AB,AA,BB,AA,AB,BB,AA,AB,AA,BB,AA,AB,AB,AB,AB,AB,BB,BB,BB,AB,AB,AB,AA,AA,BB,BB,AB,AA,AB,AB,AB,BB
5530,-0.067232465,AB,AA,AA,AB,BB,AB,AB,AA,AA,AA,BB,BB,AB,AA,AB,BB,AA,AA,AA,NA,AB,AB,AB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,NA,AB,NA,NA,BB,AB,AB,BB,AA,AA,AB,AB,AA,BB,AB,BB,AB,BB,AB,AB,AA,AB,AA,AB,AA,AA,AA,AB,BB,BB,NA,AB,AA,AB,BB,AA,AA,AA,BB,BB,AA,NA,AB,AA,AB,BB,BB,AB,AA,NA,AB,AB,AB,NA,NA,AA,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,AB,AB,AA,NA,NA,NA,AA,AB,AA,AB,AA,AB,AB,BB,AB,AB,AB,AB,BB,BB,AA,BB,AA,AA,AA,AA,BB,BB,AA,AA,AA,AB,AA,NA,AB,AB,NA,AB,NA,AA,NA,AB
5019,-0.06628947,AB,AB,AB,AB,AB,AA,AB,AA,AA,AA,BB,AB,BB,AB,AB,AB,AA,AB,AB,AA,AA,AA,BB,AA,AA,AB,AA,AB,AB,AB,AB,AA,AB,AB,AA,AA,AB,AA,BB,AA,AB,BB,AB,AA,AB,AB,AA,BB,AB,BB,AB,BB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AB,BB,BB,AA,AB,AA,AA,AB,AA,BB,AA,BB,AB,AA,AB,AB,AA,AB,AA,BB,AA,AB,BB,AA,AA,AA,AB,AA,AA,BB,BB,AA,AA,BB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AB,AA,AA,AB,AA,AA,AA,AA,AB,AA,AB,AA,AB,AA,BB,AA,AB,BB,AA,AB,AA,BB,AA,AB,AB,AB,AB,AB,BB,BB,BB,AB,AB,AB,AA,AA,BB,BB,AB,AA,AB,AB,AB,BB
5084,-0.062588225,AB,AA,AA,BB,AB,AB,AB,BB,BB,BB,AB,AA,AB,AB,AB,BB,AB,AA,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,NA,NA,AB,AB,BB,AA,AA,AB,AA,AA,NA,BB,BB,BB,BB,BB,BB,AA,BB,AA,BB,AB,AA,AA,AA,AB,BB,BB,AA,AB,AA,AA,AB,AA,BB,AA,BB,AA,AA,AA,AB,AA,AB,AA,BB,AA,AB,BB,AA,AA,AA,AA,AA,AA,BB,AB,AA,AA,BB,AA,AB,AB,AA,AA,AA,AB,AB,AB,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,AB,AA,BB,AA,BB,AA,BB,NA,AA,BB,AA,AA,AA,BB,AA,AB,AB,AB,AB,AB,BB,BB,BB,AB,AB,AB,AA,AA,BB,BB,AA,AA,AB,AB,AB,BB
5030,-0.062462875,BB,AA,AA,BB,BB,AA,BB,AA,AA,AA,BB,BB,BB,BB,BB,BB,AA,AA,NA,AB,AA,AA,BB,AA,AA,AA,AA,AB,BB,BB,BB,AA,AA,BB,AA,AA,BB,AA,BB,AA,BB,BB,AA,AB,AA,AA,BB,AB,BB,AB,AB,AB,BB,AA,AB,AA,AB,BB,AA,AB,BB,AA,AA,AA,AB,NA,AB,BB,AB,BB,BB,AB,AB,AB,AB,AB,AA,AB,AB,NA,BB,AB,AA,AB,AB,AB,AB,AB,AA,BB,AB,BB,NA,AB,BB,AB,AB,BB,AA,AB,AB,AB,AB,AB,AB,AB,AA,NA,BB,AA,BB,BB,BB,BB,AA,BB,AA,BB,AA,BB,AA,BB,AA,AB,AB,AB,BB,AA,BB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,BB,BB,AA,AA,AA,BB,AA,AA,AA,AA
